"Source:","/home/mxmont/Documents/Work/Armada/power_board/power_board.kicad_sch"
"Date:","dom 27 mar 2022 22:21:43"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","134"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R10","205K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R11","2.4M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R12","330","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R13","330K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R14","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R15","536K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R16","330K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R17","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R18","51K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R19","90.9K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R20","316K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R21","51K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R22","47K5","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R23","0","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R24","47K5","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R25","49.9K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R26","6.49K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R27","205K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R28","887K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R29","121K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R30","330K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R31","64K9","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R32","50mOhms","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R36","2.4M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R37","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R38","240K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R39","205K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R40","2.4M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R41","330","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R42","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R43","1M","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R44","90.9K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R45","316K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R46","47K5","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R47","47K5","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R48","49.9K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R49","6.49K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R50","825K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R51","182K","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","R52","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"","","TP12","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","TP13","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","TP14","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","TP15","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","TP16","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","TP17","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","TP18","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded","~"
"","","U1","LTC1540IMS8","power_board_navy:LTC1540IMS8","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"","","U2","LTC3113EDHD","power_board_navy:LTC3113EDHD","Package_SO:SSOP-20_4.4x6.5mm_P0.65mm",""
"","","U3","LT3652EMSE","Battery_Management:LT3652EMSE","Package_SO:MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm","https://www.analog.com/media/en/technical-documentation/data-sheets/3652fe.pdf"
"","","U4","INA3221","Power_Management:INA3221","Package_DFN_QFN:Texas_RGV_S-PVQFN-N16_EP2.1x2.1mm","http://www.ti.com/lit/ds/symlink/ina3221.pdf"
"","","U5","LTC1540IMS8","power_board_navy:LTC1540IMS8","Package_SO:MSOP-8_3x3mm_P0.65mm",""
"","","U6","LTC3113EDHD","power_board_navy:LTC3113EDHD","Package_SO:SSOP-20_4.4x6.5mm_P0.65mm",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","6","10mOhms1, R3, R4, R5, R6, R52","10","Device:R_US","Resistor_SMD:R_0805_2012Metric","~"
"2","3","BT1, BT2, BT3","Battery","Device:Battery","Battery:BatteryHolder_MPD_BH-18650-PC2","~"
"3","9","C1, C2, C4, C5, C13, C27, C36, C45, C49","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"4","6","C3, C17, C23, C25, C39, C44","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"5","4","C6, C12, C18, C26","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
